线名,隧道号,隧道名,里程桩号,全景点经度,全景点纬度,全景点高程,所在维修车间,拍摄时间,720云链接
杭温铁路,20,青山尖（出口）,K55+826（出口）,120.0498852777,29.4171961111,160.169,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907506
杭温铁路,21,坞灶（进口）,K61+005（进口）,120.0319677776,29.3761500001,161.534,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907507
杭温铁路,21,坞灶（出口）,K61+160（出口）,120.0299730556,29.3752913889,165.752,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907508
杭温铁路,22,下傅宅（进口）,K61+504（进口）,120.0281130556,29.3731258333,164.9,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907509
杭温铁路,22,下傅宅（出口）,K61+655（出口）,120.0268508334,29.3718519445,164.817,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907510
杭温铁路,23,香山岭（进口）,K63+857（进口）,120.0116491667,29.3575755555,172.304,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907511
杭温铁路,23,香山岭（出口）,K67+167（出口）,119.9875175,29.3363122222,203.299,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907512
杭温铁路,24,上贾宅（进口）,K85+863（进口）,120.0594316667,29.230416389,200.908,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907513
杭温铁路,24,上贾宅（出口）,K86+598（出口）,120.0675522222,29.2294652778,203.002,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907514
杭温铁路,25,金光顶（进口）,K86+654（进口）,120.0676738889,29.2294458334,204.014,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907515
杭温铁路,25,金光顶（出口）,K88+287（出口）,120.0848222222,29.2273425,224.018,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907516
杭温铁路,26,里安（进口）,K88+366（进口）,120.0854052778,29.2272436112,223.931,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907517
杭温铁路,26,里安（出口）,K89+011（出口）,120.0921697222,29.2268952779,221.097,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907518
杭温铁路,27,王坞（进口）,K89+697（进口）,120.0988133332,29.2265536111,221.633,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907519
杭温铁路,27,王坞（出口）,K90+516（出口）,120.1077394444,29.2264386111,216.143,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907520
杭温铁路,28,画坞（进口）,K90+622（进口）,120.1084972222,29.2263972223,216.232,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907521
杭温铁路,28,画坞（出口）,K91+061（出口）,120.1132975001,29.2257866667,218.469,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907522
杭温铁路,29,朱店（进口）,K91+157（进口）,120.1138811112,29.2257205555,218.729,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907523
杭温铁路,29,朱店（出口）,K93+546（出口）,120.1390105555,29.2244363889,268.856,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907524
杭温铁路,30,里山（进口）,K93+780（进口）,120.1404330556,29.224465,269.194,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907525
杭温铁路,30,里山（出口）,K99+289（出口）,120.1979936113,29.2245169445,288.981,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907526
杭温铁路,31,梧坞（进口）,K99+342（进口）,120.1977508332,29.2244622222,288.722,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907527
杭温铁路,31,梧坞（出口）,K99+697（出口）,120.2024536111,29.2247816666,292.629,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907528
杭温铁路,32,马坞山（进口）,K102+467（进口）,120.2299111111,29.2230805555,274.225,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907529
杭温铁路,32,马坞山（出口）,K102+972（出口）,120.2359247222,29.2219013889,273.406,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907530
杭温铁路,33,里庄（进口）,K108+700（进口）,120.2922916667,29.2118372222,277.374,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907531
杭温铁路,33,里庄（出口）,K108+983（出口）,120.296408611,29.2111183334,281.565,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907532
杭温铁路,34,西岩岭（进口）,K109+626（进口）,120.3018944444,29.2100952779,282.655,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907533
杭温铁路,34,西岩岭（出口）,K113+099（出口）,120.3356716667,29.1977272223,310.99,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907534
杭温铁路,35,南上湖（进口）,K113+209（进口）,120.3356741667,29.1976902779,310.868,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907535
杭温铁路,35,南上湖（出口）,K113+868（出口）,120.3417855556,29.1936991667,298.115,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907536
杭温铁路,36,红山（进口）,K117+740（进口）,120.3711725,29.1714330556,302.426,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907537
杭温铁路,36,红山（出口）,K118+245（出口）,120.3755211112,29.1677461111,299.39,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907538
杭温铁路,37,大园岭（进口）,K119+410（进口）,120.381788889,29.1597822222,303.571,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907539
杭温铁路,37,大园岭（出口）,K119+829（出口）,120.3839311111,29.1556191666,308.812,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907540
杭温铁路,38,九坞（进口）,K120+085（进口）,120.3846722222,29.1542408333,308.981,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907541
杭温铁路,38,九坞（出口）,K124+774（出口）,120.3941716667,29.1127716667,383.638,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907542
杭温铁路,39,端头（进口）,K124+920（进口）,120.3942566667,29.1120527777,381.681,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907543
杭温铁路,39,端头（出口）,K126+119（出口）,120.3945830555,29.1001480556,397.286,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907544
杭温铁路,40,仙前（进口）,K126+481（进口）,120.3946838889,29.0979061111,396.758,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907545
杭温铁路,40,仙前（出口）,K127+535（出口）,120.3955319445,29.08747,384.35,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907546
杭温铁路,41,七秩塘（进口）,K127+790（进口）,120.3954736112,29.0861447222,384.724,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907547
杭温铁路,41,七秩塘（出口）,K128+955（出口）,120.3951725001,29.07466,400.968,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907548
杭温铁路,42,小岭（进口）,K129+435（进口）,120.3952383332,29.0713802778,400.104,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907549
杭温铁路,42,小岭（出口）,K135+419（出口）,120.4145197224,29.0197827778,475.151,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907550
杭温铁路,43,屋楼（进口）,K135+650（进口）,120.415163889,29.0185566667,474.576,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907551
杭温铁路,43,屋楼（出口）,K136+123（出口）,120.4170577778,29.0138666665,477.386,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907552
杭温铁路,44,仰头（进口）,K136+315（进口）,120.41761,29.0130033333,477.474,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907553
杭温铁路,44,仰头（出口）,K138+192（出口）,120.4261341667,28.9970244445,505.955,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907554
杭温铁路,45,磐安（进口）,K139+150（进口）,120.4306102779,28.9901058333,505.161,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907555
杭温铁路,45,磐安（出口）,K145+519（出口）,120.4714436111,28.9456069444,577.886,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907556
杭温铁路,46,盘峰一号（进口）,K145+590（进口）,120.4714325,28.945701111,577.339,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907557
杭温铁路,46,盘峰一号（出口）,K150+459（出口）,120.5192319444,28.9309327776,604.944,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907558
杭温铁路,47,盘峰二号（进口）,K151+118（进口）,120.5248488889,28.9295858334,604.511,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907559
杭温铁路,47,盘峰二号（出口）,K159+413（出口）,120.6036330556,28.9005255556,435.265,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907560
杭温铁路,48,仙居（进口）,K159+508（进口）,120.6038005556,28.9002644444,434.643,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907561
杭温铁路,48,仙居（出口）,K167+745（出口）,120.6373972222,28.8327394443,228.99,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907562
杭温铁路,49,小丁山（进口）,K172+770（进口）,120.6501877778,28.7895030556,227.134,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907563
杭温铁路,49,小丁山（出口）,K177+713（出口）,120.6691013889,28.7476194443,257.394,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907564
杭温铁路,50,乌岩（进口）,K177+888（进口）,120.6695947222,28.7469497221,257.17,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907565
杭温铁路,50,乌岩（出口）,K178+955（出口）,120.6746558334,28.7373477778,286.823,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907566
杭温铁路,51,李宅（进口）,K179+263（进口）,120.6754561111,28.7357330556,286.669,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907567
杭温铁路,51,李宅（出口）,K180+262（出口）,120.6787225,28.7263027778,317.491,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907568
杭温铁路,52,下亭（进口）,K180+319（进口）,120.6786680555,28.7264591666,317.29,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907569
杭温铁路,52,下亭（出口）,K182+231（出口）,120.6816616667,28.7087133333,358.16,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907570
杭温铁路,53,里齐（进口）,K182+915（进口）,120.6825069443,28.7035063889,357.868,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907571
杭温铁路,53,里齐（出口）,K188+846（出口）,120.6909427778,28.6495963889,433.777,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907572
杭温铁路,54,西安（进口）,K188+934（进口）,120.6909358333,28.6494250001,433.875,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907573
杭温铁路,54,西安（出口）,K190+973（出口）,120.6940902778,28.6309572224,703.847,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907574
杭温铁路,55,方厂（进口）,K190+992（进口）,120.6942163888,28.6309183334,704.425,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907575
杭温铁路,55,方厂（出口）,K192+264（出口）,120.6982277779,28.6198477778,420.913,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907576
杭温铁路,56,西山（进口）,K192+293（进口）,120.6983172221,28.6196961111,420.66,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907577
杭温铁路,56,西山（出口）,K201+648（出口）,120.7301069444,28.5397836111,389.423,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907578
杭温铁路,57,户口（进口）,K201+749（进口）,120.7302422224,28.5391983333,389.388,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907579
杭温铁路,57,户口（出口）,K209+506（出口）,120.7557633333,28.4725813889,331.431,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907580
杭温铁路,58,岩坦头（进口）,K209+550（进口）,120.7557841667,28.4725333333,331.298,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907581
杭温铁路,58,岩坦头（出口）,K210+239（出口）,120.7575966667,28.4662861112,328.656,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907582
