线名,隧道号,隧道名,里程桩号,全景点经度,全景点纬度,全景点高程,所在维修车间,拍摄时间,720云链接
杭昌高铁,57,石柱山隧道（进口）,/,119.2358486111,29.7012508333,341.572,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907864
杭昌高铁,57,石柱山隧道（出口）,K150+261（出口）,119.2113988889,29.72261,283.797,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907865
杭昌高铁,58,江坑村隧道（进口）,K150+286（进口）,119.2122402779,29.7219941667,283.666,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907866
杭昌高铁,58,江坑村隧道（出口）,/,119.2054258333,29.72692,265.054,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907867
杭昌高铁,59,横坑口隧道（进口）,K151+137（进口）,119.2051852778,29.7270530555,265.077,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907868
杭昌高铁,59,横坑口隧道（出口）,/,119.2012197222,29.7295833333,258.8,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907869
杭昌高铁,60,宋畈隧道（进口）,K151+977（进口）,119.1983244444,29.73132,259.145,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907870
杭昌高铁,60,宋畈隧道（出口）,/,119.1950008334,29.7329149998,256.28,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907871
杭昌高铁,61,西王尖隧道（进口）,K153+805（进口）,119.1824522223,29.7406155556,251.703,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907872
杭昌高铁,61,西王尖隧道（出口）,/,119.1609994444,29.7557358333,255.332,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907873
杭昌高铁,63,竹坑坞1#隧道（进口）,/,119.1045655556,29.7940522223,263.554,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907874
杭昌高铁,63,竹坑坞1#隧道（出口）,K164+414（出口）,119.095015,29.8000216667,261.031,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907875
杭昌高铁,64,竹坑坞2#隧道（进口）,/,119.0940947223,29.80051,260.958,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907876
杭昌高铁,64,竹坑坞2#隧道（出口）,K164+448（出口）,119.0775472222,29.8112188889,260.27,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907877
杭昌高铁,65,石岭隧道（进口）,/,119.0771352778,29.8114272222,259.633,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907878
杭昌高铁,65,石岭隧道（出口）,K166+548（出口）,119.0147883332,29.8660419445,318.369,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907879
杭昌高铁,/,河浦隧道（进口）,K175+183（进口）,119.0152336113,29.8654027779,317.695,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907880
杭昌高铁,/,河浦隧道（出口）,/,119.0020613889,29.8842358333,355.341,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907881
杭昌高铁,69,凤庵山隧道（进口）,/,118.9999416667,29.8867722222,356.124,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907882
杭昌高铁,69,凤庵山隧道（出口）,K179+535（出口）,118.989775,29.8990052776,387.969,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907883
杭昌高铁,70,圭川溪隧道（进口）,/,118.9868363889,29.9024083333,389.068,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907884
杭昌高铁,70,圭川溪隧道（出口）,K186+996（出口）,118.9401616667,29.9503869444,524.939,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907885
杭昌高铁,/,天目山隧道（进口）,K187+050（进口）,118.9407213889,29.9500955556,525.949,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907886
衢九线,3,大坪坡隧道（进口）,/,118.5399769444,28.9257302778,244.004,常山综合维修车间,2026,https://www.720yun.com/t/feakuy17drh?scene_id=129907981
衢九线,3,大坪坡隧道（出口）,K036+137（出口）,118.5345097222,28.9271161111,243.548,常山综合维修车间,2026,https://www.720yun.com/t/feakuy17drh?scene_id=129907982
衢九线,6,旗山隧道（进口）,/,118.4378019444,28.9667238889,242.984,常山综合维修车间,2026,https://www.720yun.com/t/feakuy17drh?scene_id=129907983
衢九线,6,旗山隧道（出口）,K047+044（出口）,118.4335522222,28.9683363889,243.548,常山综合维修车间,2026,https://www.720yun.com/t/feakuy17drh?scene_id=129907984
衢九线,15,雷石山二号隧道（进口）,K64+072（进口）,118.278215,29.0260711111,284.136,常山综合维修车间,2026,https://www.720yun.com/t/feakuy17drh?scene_id=129907985
衢九线,15,雷石山二号隧道（出口）,/,118.2732375,29.0271255555,285.522,常山综合维修车间,2026,https://www.720yun.com/t/feakuy17drh?scene_id=129907986
衢九线,17,裴岭二号隧道（进口）,K067+246（进口）,118.246476389,29.0328822223,302.638,常山综合维修车间,2026,https://www.720yun.com/t/feakuy17drh?scene_id=129907987
衢九线,17,裴岭二号隧道（出口）,/,118.2290033334,29.0398538889,314.955,常山综合维修车间,2026,https://www.720yun.com/t/feakuy17drh?scene_id=129907988
衢九线,19,王家边隧道（进口）,/,118.22232,29.0430144445,329.675,常山综合维修车间,2026,https://www.720yun.com/t/feakuy17drh?scene_id=129907989
衢九线,19,王家边隧道（出口）,K070+260（出口）,118.2178063889,29.0452680556,322.514,常山综合维修车间,2026,https://www.720yun.com/t/feakuy17drh?scene_id=129907990
衢九线,23,王岸二号隧道（进口）,K076+469（进口）,118.1602766666,29.0663402779,331.674,常山综合维修车间,2026,https://www.720yun.com/t/feakuy17drh?scene_id=129907991
衢九线,23,王岸二号隧道（出口）,/,118.1545013889,29.0685633333,337.886,常山综合维修车间,2026,https://www.720yun.com/t/feakuy17drh?scene_id=129907992
衢九线,/,杨林（进口）,/,118.1500888889,29.07068,328.692,常山综合维修车间,2026,https://www.720yun.com/t/feakuy17drh?scene_id=129907993
衢九线,/,杨林（出口）,K83+113（出口）,118.0968641665,29.0907555556,303.358,常山综合维修车间,2026,https://www.720yun.com/t/feakuy17drh?scene_id=129907994
衢九线,/,涵洞,K083+246（涵洞）,118.0958475001,29.0907744444,303.266,常山综合维修车间,2026,https://www.720yun.com/t/feakuy17drh?scene_id=129907995
衢九线,/,歇岭（进口）,K83+260（进口）,118.0965158334,29.0913041667,303.312,常山综合维修车间,2026,https://www.720yun.com/t/feakuy17drh?scene_id=129907996
衢九线,/,歇岭（出口）,/,118.0859925,29.0945883333,297.302,常山综合维修车间,2026,https://www.720yun.com/t/feakuy17drh?scene_id=129907997
衢九线,28,白鹤山三号隧道（进口）,K85+398（进口）,118.0759155555,29.0972627778,319.615,常山综合维修车间,2026,https://www.720yun.com/t/feakuy17drh?scene_id=129907998
衢九线,28,白鹤山三号隧道（出口）,/,118.0597536111,29.1009108333,283.349,常山综合维修车间,2026,https://www.720yun.com/t/feakuy17drh?scene_id=129907999
衢九线,30,白鹤山一号隧道（进口）,/,118.0477622222,29.103345,280.4,常山综合维修车间,2026,https://www.720yun.com/t/feakuy17drh?scene_id=129908000
衢九线,30,白鹤山一号隧道（出口）,K090+025（出口）,118.0283791667,29.1066527778,267.929,常山综合维修车间,2026,https://www.720yun.com/t/feakuy17drh?scene_id=129908001
衢九线,/,何家隧道（进口）,/,118.4277472222,28.97084,243.106,常山综合维修车间,2026,https://www.720yun.com/t/feakuy17drh?scene_id=129908002
衢九线,/,何家隧道中心点,K49+372,118.4133255555,28.9741158334,520.191,常山综合维修车间,2026,https://www.720yun.com/t/feakuy17drh?scene_id=129908003
衢九线,/,朱家坞隧道（出口）,/,118.3384805555,29.0092749999,254.626,常山综合维修车间,2026,https://www.720yun.com/t/feakuy17drh?scene_id=129908004
衢九线,/,樟树坞隧道（进口）,/,118.2180983333,29.0449825,315.996,常山综合维修车间,2026,https://www.720yun.com/t/feakuy17drh?scene_id=129908005
衢九线,/,炉新二号隧道（出口）,/,118.3249597222,29.0155836109,261.705,常山综合维修车间,2026,https://www.720yun.com/t/feakuy17drh?scene_id=129908006
沪昆线,,大圆里隧道（进口）,K234+763,,,,金华综合维修车间,2018,https://www.720yun.com/t/e64jtskOzu9?scene_id=13976725
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
